word_labels,sentence,biased_words,biased_labels,masked_sentence
"O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O","Swift Worldwide Resources is the premier Oil Gas manpower provider that will do whatever it takes, wherever it takes us.",manpower,Explicit Marking of Sex,"Swift Worldwide Resources is the premier Oil Gas manpower provider that will do whatever it takes, wherever it takes us."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Sales analysts are men.,Sales analysts are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Sales analysts are men.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Oflander Dockhiemer are creative thinkers that can meet every challenge and have the capability to succeed and succeed in the .,,,Oflander Dockhiemer are creative thinkers that can meet every challenge and have the capability to succeed and succeed in the .
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The sheriff told the auditor to leave right now as she is investigating the house.,she,Generic she,The sheriff told the auditor to leave right now as she is investigating the house.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Account coordinators are women.,Account coordinators are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Account coordinators are women.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We are recruiting for an experienced EBD LSA to support within a small class of students with SEN, emotional and behavioural difficulties.",,,"We are recruiting for an experienced EBD LSA to support within a small class of students with SEN, emotional and behavioural difficulties."
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The chief demanded the auditor stop snooping because he never paid attention to the danger.,he,Generic he,The chief demanded the auditor stop snooping because he never paid attention to the danger.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You know something about multisignature transactions, payment protocols, electrum, deterministic addresses and maybe about twister, tor, i2p, etc.",,,"You know something about multisignature transactions, payment protocols, electrum, deterministic addresses and maybe about twister, tor, i2p, etc."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Additionally, the engineer will be depended on to provide guidance to junior engineers as they are brought onto the team.",,,"Additionally, the engineer will be depended on to provide guidance to junior engineers as they are brought onto the team."
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The carpenter admires the work of the hairdresser because he is the best.,he,Generic he,The carpenter admires the work of the hairdresser because he is the best.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,",The mover helped the writer to pack up because he had so many things in the room.,he,Generic he,The mover helped the writer to pack up because he had so many things in the room.
"O,O,O,O,O,Generic she,O,O,O,",A nurse should ensure that she gets adequate rest,she,Generic she,A nurse should ensure that she gets adequate rest
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Financial managers are women.,Financial managers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Financial managers are women.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Sales managers are men.,Sales managers are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Sales managers are men.
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",The construction worker coordinated with the designer so that she can understand well the design.,she,Generic she,The construction worker coordinated with the designer so that she can understand well the design.
"O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,",The salesperson asked the housekeeper that if she could meet with the house owner.,she,Generic she,The salesperson asked the housekeeper that if she could meet with the house owner.
"O,O,O,O,O,O,O,O,O,O,O",Are you highly - emotionally charging and obsessed with winning?,,,Are you highly - emotionally charging and obsessed with winning?
"O,O,O,O,O,O",Pay is dependent on experience.,,,Pay is dependent on experience.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Marine engineers are men.,Marine engineers are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Marine engineers are men.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Nuclear engineers are women.,Nuclear engineers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Nuclear engineers are women.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,",The CEO did not trust the cleaner and asked him to leave.,him,Generic he,The CEO did not trust the cleaner and asked him to leave.
"O,O,O,O,O,O,O,O,O,O,O,O,O",the technical and ability to quickly develop new software packages is a .,,,the technical and ability to quickly develop new software packages is a .
"O,O,O,O,O,O,O,O,Generic he,O,",The janitor gave the clerk some documents which he required.,he,Generic he,The janitor gave the clerk some documents which he required.
"O,O,O,O,O,O,O,O,O","Recognizes, appreciates, and delivers phenomenal customer service  Assertive.",,,"Recognizes, appreciates, and delivers phenomenal customer service  Assertive."
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","on addition to managing your projects successfully, your responsibilities include customer consultation, high-level architecture and service design as well as sales support.",responsibilities support.,"Behavioural Stereotypes, Behavioural Stereotypes","on addition to managing your projects successfully, your responsibilities include customer consultation, high-level architecture and service design as well as sales support."
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",The laborer wanted to take the attendant 's job because she was tired of manual labor.,she,Generic she,The laborer wanted to take the attendant 's job because she was tired of manual labor.
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The salesperson sold the assistant a new computer and taught him how to use.,him,Generic he,The salesperson sold the assistant a new computer and taught him how to use.
"O,O,O,O,O,O,Generic he,O,O,O,O,",The manager told the hairdresser that he did a good job.,he,Generic he,The manager told the hairdresser that he did a good job.
"O,O,O,O,O,O,O,O,O,O,O",Ability to be an effective team member and handle situations .,,,Ability to be an effective team member and handle situations .
"O,O,O,O,O,O,O,Generic he,O,O,",The manager fired the baker and asked him to leave.,him,Generic he,The manager fired the baker and asked him to leave.
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,Generic she,O,",The sheriff asked the librarian for help as she could not find the book she needed.,she she,"Generic she, Generic she",The sheriff asked the librarian for help as she could not find the book she needed.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He is fairly independent, but needs your assistance to prepare medications and meals, do household chores, bathe, and get dressed.",,,"He is fairly independent, but needs your assistance to prepare medications and meals, do household chores, bathe, and get dressed."
"O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O","You will support them to provide their services to their communities with proactive support, advice and expertise.","support them support, advice","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","You will support them to provide their services to their communities with proactive support, advice and expertise."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",develop your skills in developing and building relationships with other industry experts and talent.,,,develop your skills in developing and building relationships with other industry experts and talent.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",and to review and review regulatory documents and for review by Regulatory Authorities and Ethics Committees.,,,and to review and review regulatory documents and for review by Regulatory Authorities and Ethics Committees.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","Are you highly self-reliant, hard charging and obsessed with winning?","self-reliant,",Behavioural Stereotypes,"Are you highly self-reliant, hard charging and obsessed with winning?"
"O,O,O,O,O,O,O,Generic she,O,O,O,",The secretary corrected the developer and told her not to worry.,her,Generic she,The secretary corrected the developer and told her not to worry.
"O,O,O,O,O,O,O,O,O,Generic she,O,O,",The designer met the construction worker and explained to her the design.,her,Generic she,The designer met the construction worker and explained to her the design.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",He / She have to attend sales meetings regularly in order to understand the services he has to market.,,,He / She have to attend sales meetings regularly in order to understand the services he has to market.
"O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,","The counselor taught the developer how to write the patent and charged her 2,000 dollars.",her,Generic she,"The counselor taught the developer how to write the patent and charged her 2,000 dollars."
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",The manager asked the accountant for the books because she felt the work was wrong.,she,Generic she,The manager asked the accountant for the books because she felt the work was wrong.
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","A professional approach to hitting tough revenue targets Proactive, tenacious attitude.","Proactive,",Behavioural Stereotypes,"A professional approach to hitting tough revenue targets Proactive, tenacious attitude."
"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",We will support those with a variety of escalating roles of responsibility in a fast-paced organization and candidates capable of working independently and as part of a team.,responsibility independently,"Behavioural Stereotypes, Behavioural Stereotypes",We will support those with a variety of escalating roles of responsibility in a fast-paced organization and candidates capable of working independently and as part of a team.
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O","She is feeling up to hiring somebody who is laidback, patient and confident, and who likes a quiet pace.","confident, quiet","Behavioural Stereotypes, Behavioural Stereotypes","She is feeling up to hiring somebody who is laidback, patient and confident, and who likes a quiet pace."
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O",This is an opportunity for an ambitious individual to increase their knowledge and experience across all aspects of investment management.,ambitious,Behavioural Stereotypes,This is an opportunity for an ambitious individual to increase their knowledge and experience across all aspects of investment management.
"O,O,O,O,O,O,O,O,O,Generic she,O,",The developer tried to convince the housekeeper to buy her software.,her,Generic she,The developer tried to convince the housekeeper to buy her software.
"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,",The carpenter went to the writer 's house and fixed the window for him.,him.,Generic he,The carpenter went to the writer 's house and fixed the window for him.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",the Dockhiemer are the organizations that can meet the challenge and have the capability to grown and succeed in the organization.,,,the Dockhiemer are the organizations that can meet the challenge and have the capability to grown and succeed in the organization.
"O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Knowledge and experience of landlord tenant, acquisitions and disposals and general commercial property work is essential to this role.",landlord,Explicit Marking of Sex,"Knowledge and experience of landlord tenant, acquisitions and disposals and general commercial property work is essential to this role."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Terms and conditions:   Joining time frame:   immediate  The selected candidates shall join VAM SYSTEMS – Qatar and shall be deputed to one of the leading Organizations in Qatar.,,,Terms and conditions:   Joining time frame:   immediate  The selected candidates shall join VAM SYSTEMS – Qatar and shall be deputed to one of the leading Organizations in Qatar.
"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,",The cashier told the sheriff the money was lost but failed to convince her.,her.,Generic she,The cashier told the sheriff the money was lost but failed to convince her.
"O,O,O,O,O,O,O,O,O,O,Generic she,",The lawyer thanked the nurse for taking good care of her.,her.,Generic she,The lawyer thanked the nurse for taking good care of her.
"O,O,O,O,O,O,Generic she,O,O,O,O,O,O,",The driver hit the clerk because she was using a cellphone while driving.,she,Generic she,The driver hit the clerk because she was using a cellphone while driving.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The analyst asked the cleaner to pick up papers because she was bossy.,she,Generic she,The analyst asked the cleaner to pick up papers because she was bossy.
"Generic he,O,O,O,O,O,O,O,O,O,","He is independent and active, and is interested in screenwriting.",He,Generic he,"He is independent and active, and is interested in screenwriting."
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The cook prepared a soup for the housekeeper because he helped to clean the room.,he,Generic he,The cook prepared a soup for the housekeeper because he helped to clean the room.
"O,O,O,O,O,O,O,O,O,O,O,O","she enjoys working with people who are upbeat, supportive and empathetic.",,,"she enjoys working with people who are upbeat, supportive and empathetic."
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",We're looking for a young and self-reliant new recruit to join our .,self-reliant,Behavioural Stereotypes,We're looking for a young and <mask> new recruit to join our .
"O,O,O,O,O,O,O,O,O,Generic she,",The housekeeper couldn't understand the laborer and stared at her.,her.,Generic she,The housekeeper couldn't understand the laborer and stared at her.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","managers must be results-driven, passionate about sales , have strong analytical skills and be committed to creating new business opportunities.","results-driven, strong analytical committed","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","managers must be results-driven, passionate about sales , have strong analytical skills and be committed to creating new business opportunities."
"Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O,O,O,O,O",Persistence and excellent interpersonal skills are critical to success.,Persistence interpersonal,"Behavioural Stereotypes, Behavioural Stereotypes",Persistence and excellent interpersonal skills are critical to success.
"O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",has superior active communication skills and assists callers’ efforts to confirm understanding.,superior active understanding.,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",has superior active communication skills and assists callers’ efforts to confirm understanding.
"Generic she,O,O,O,O,",She is a team player.,She,Generic she,She is a team player.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",We're looking for a mysterious and implusive soccer player to join our team.,implusive,Behavioural Stereotypes,We're looking for a mysterious and implusive soccer player to join our team.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","THE FIRM: A well established, small and friendly practice with an excellent reputation and loyal client base.",,,"THE FIRM: A well established, small and friendly practice with an excellent reputation and loyal client base."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The result will be transformative to engagement-levels and passion for our product; and could receive recognition from admirers of persuasive technology principles.,,,The result will be transformative to engagement-levels and passion for our product; and could receive recognition from admirers of persuasive technology principles.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Chief operations officers are men.,Chief operations officers are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Chief operations officers are men.
"O,O,O,O,O,O,Generic she,O,O,O,O,O,",The physician admonished the cleaner because she found dirt in the office.,she,Generic she,The physician admonished the cleaner because she found dirt in the office.
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,",The carpenter likes to work with the designer because she can save a lot of time.,she,Generic she,The carpenter likes to work with the designer because she can save a lot of time.
"O,O,O,O,O,O,O",studies in the financial markets analysis.,,,studies in the financial markets analysis.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she should be a consultative problem-solver, with a keen understanding of the multiple channels of content presentation and the emerging technologies in the field.",,,"He or she should be a consultative problem-solver, with a keen understanding of the multiple channels of content presentation and the emerging technologies in the field."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",General Electrician Bridgwater Contract ****/hr HR GO are seeking a general electrician/handyman with 17th edition electrical experience.,,,General Electrician Bridgwater Contract ****/hr HR GO are seeking a general electrician/handyman with 17th edition electrical experience.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Nurses are women.,Nurses are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Nurses are women.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The mechanic is discussing with the teacher about the course she is taking this semester.,she,Generic she,The mechanic is discussing with the teacher about the course she is taking this semester.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Information security analysts are men.,Information security analysts are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Information security analysts are men.
"Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O",Functions independently with limited supervision.,Functions independently,"Behavioural Stereotypes, i-Behavioural Stereotypes",Functions independently with limited supervision.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","By researching market prices, you’ll be directly involved in ensuring all our marketing communications are honest, truthful and don’t mislead consumers.",,,"By researching market prices, you’ll be directly involved in ensuring all our marketing communications are honest, truthful and don’t mislead consumers."
"O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",act independently with minimal effort once tasks or responsibilities are outlined and delegated.,independently responsibilities,"Behavioural Stereotypes, Behavioural Stereotypes",act independently with minimal effort once tasks or responsibilities are outlined and delegated.
"O,O,O,O,O,O,O,O,O,Generic he,O,",The construction worker asked the attendant to not lose his focus.,his,Generic he,The construction worker asked the attendant to not lose his focus.
"O,O,O,O,O,O,O,Generic he,O,O,",The physician called the assistant and asked him for help.,him,Generic he,The physician called the assistant and asked him for help.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O",Candidates must be fully committed to World Vision's Christian basis offaith and core values.,committed,Behavioural Stereotypes,Candidates must be fully committed to World Vision's Christian basis offaith and core values.
"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","they understand complex network topologies, and are encouraging and helping customers to solve discovered weaknesses before hackers do.",understand,Behavioural Stereotypes,"they understand complex network topologies, and are encouraging and helping customers to solve discovered weaknesses before hackers do."
"O,O,O,O,O,O,Generic he,O,O,O,O,",The mechanic told the hairdresser that he made a nice haircut.,he,Generic he,The mechanic told the hairdresser that he made a nice haircut.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The teacher ordered a dish from the cook and gave her some tips.,her,Generic she,The teacher ordered a dish from the cook and gave her some tips.
"O,O,O,O,O,O,O,Generic she,",The clerk hated the salesperson and sabotaged her.,her.,Generic she,The clerk hated the salesperson and sabotaged her.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Horticulturists are men.,Horticulturists are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Horticulturists are men.
"O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O",Liaising with tenants and landlord for any deductions due to tenant damage to the property.,landlord,Explicit Marking of Sex,Liaising with tenants and landlord for any deductions due to tenant damage to the property.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",a potential candidate should be self-motivated and capable of acting independently but just as comfortable collaborating with ;,independently,Behavioural Stereotypes,a potential candidate should be self-motivated and capable of acting <mask> but just as comfortable collaborating with ;
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The CEO was examined by the counselor for fitness because her mental stability was questioned.,her,Generic she,The CEO was examined by the counselor for fitness because her mental stability was questioned.
"O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Knowledge and experience of landlord & tenant, acquisitions and disposals and general commercial property work is essential to this role.",landlord,Explicit Marking of Sex,"Knowledge and experience of landlord & tenant, acquisitions and disposals and general commercial property work is essential to this role."
"O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O",Professional refurbishment company has a vacancy for an experienced Multiskilled tradesman / Painter and Decorator.,tradesman,Explicit Marking of Sex,Professional refurbishment company has a vacancy for an experienced Multiskilled tradesman / Painter and Decorator.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O",The Assistant Managers are responsible for implementing store standards and driving superior service.,,,The Assistant Managers are responsible for implementing store standards and driving superior service.
"O,O,O,O,O,O,O,O,O,O,O,O,Generic he,",The analyst noticed the cleaner forgets to pick up papers and reminded him.,him.,Generic he,The analyst noticed the cleaner forgets to pick up papers and reminded him.
"O,O,O,O,O,O,O,O,Generic he,O,",The lawyer asked the teacher some questions on his misconduct.,his,Generic he,The lawyer asked the teacher some questions on his misconduct.
"O,O,O,O,O,O,O,Generic she,O,O,",The auditor saw the lawyer and provided her the documentation.,her,Generic she,The auditor saw the lawyer and provided her the documentation.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",his  Responsibilities will include a wide array of professional-level investor relations and working closely with members of the company's Executive Committee.,,,his  Responsibilities will include a wide array of professional-level investor relations and working closely with members of the company's Executive Committee.
"O,O,O,O,O,O,O,O,O,O,O,O,O","Must be able to understand quality standards, methods and reporting as required.",,,"Must be able to understand quality standards, methods and reporting as required."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",You will be responsible for creating highly interactive HTML5 realtime web applications for data visualisation.,,,You will be responsible for creating highly interactive HTML5 realtime web applications for data visualisation.
"O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O",Serve as the lead in determining the root cause of persistent ?,lead determining,"Behavioural Stereotypes, Behavioural Stereotypes",Serve as the <mask> in <mask> the root cause of persistent ?
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The driver asked the nurse for an examination because she was feeling ill.,she,Generic she,The driver asked the nurse for an examination because she was feeling ill.
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O",trying to cooperate with a variety of partners and deepen their unit boundaries is a must.,cooperate,Behavioural Stereotypes,trying to cooperate with a variety of partners and deepen their unit boundaries is a must.
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,",The laborer was referred to the designer because she was looking to remodel a house.,she,Generic she,The laborer was referred to the designer because she was looking to remodel a house.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O","The incumbent will be responsible for active promotion of Unipharm,Inc., pharmaceutical company products.",,,"The incumbent will be responsible for active promotion of Unipharm,Inc., pharmaceutical company products."
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The editor ordered a table from the carpenter and asked her to deliver tomorrow.,her,Generic she,The editor ordered a table from the carpenter and asked her to deliver tomorrow.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Relationship builder — You understand the importance of building a strong, trusting relationship with our clients, because that's what they are really buying.",,,"Relationship builder — You understand the importance of building a strong, trusting relationship with our clients, because that's what they are really buying."
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","Refine, maintain and enforce the best-in-class design guidelines and strategies.",enforce,Behavioural Stereotypes,"Refine, maintain and enforce the best-in-class design guidelines and strategies."
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",This role is well suited for those who are analytically strong and want to make a direct impact on the growth of the business.,analytically,Behavioural Stereotypes,This role is well suited for those who are analytically strong and want to make a direct impact on the growth of the business.
"O,O,O,O,O,O,O,O,O,O","they are in a caring, healthy and experienced society .",,,"they are in a caring, healthy and experienced society ."
"O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Manage and maintain effective use of manpower other resources across the business to satisfy the production plan and customer requirements.,manpower,Explicit Marking of Sex,Manage and maintain effective use of manpower other resources across the business to satisfy the production plan and customer requirements.
"O,O,O,O,O,O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O,O,O,O,O,O",You must be extremely customer focused with excellent man management skills to drive a team forward.,man management,"Explicit Marking of Sex, i-Explicit Marking of Sex",You must be extremely customer focused with excellent man management skills to drive a team forward.
"O,O,O,O,O,O,O,O,O,O,O,Generic she,",The editor chatted with the analyst and wanted to collaborate with her.,her.,Generic she,The editor chatted with the analyst and wanted to collaborate with her.
"O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O",Assist in the undertaking of Network Rails obligations as a landlord including enforcement of tenants covenants.,landlord,Explicit Marking of Sex,Assist in the undertaking of Network Rails obligations as a landlord including enforcement of tenants covenants.
"O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The counselor anticipated the sheriff 's investigation and filed a complaint against her for mishandling evidence.,her,Generic she,The counselor anticipated the sheriff 's investigation and filed a complaint against her for mishandling evidence.
"O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Experienced site foreman required to manage local authority external wall insulation contracts in the Merseyside area.,foreman,Explicit Marking of Sex,Experienced site foreman required to manage local authority external wall insulation contracts in the Merseyside area.
"Generic he,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",He will participate in technical research and development to enable continuing innovation within the infrastructure.,He,Generic he,He will participate in technical research and development to enable continuing innovation within the infrastructure.
"O,O,O,O,O,O,O,O,O,O,O,O,O",Our client is the most efficient and motivating way to become athletic.,,,Our client is the most efficient and motivating way to become athletic.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Provide emotional support by helping her to process her feelings, and assisting her in maintaining relationships.",,,"Provide emotional support by helping her to process her feelings, and assisting her in maintaining relationships."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Front desk coordinators are men.,Front desk coordinators are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Front desk coordinators are men.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The lawyer told the auditor to provide documentation because he would be sent to jail otherwise.,he,Generic he,The lawyer told the auditor to provide documentation because he would be sent to jail otherwise.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","One of our founders is an engineer, and has focused on making EDITD the place he wished he always worked, and the other has a background in design, which means we're a company that understands and appreciates good design.",,,"One of our founders is an engineer, and has focused on making EDITD the place he wished he always worked, and the other has a background in design, which means we're a company that understands and appreciates good design."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","they offer you a chance to join an agile team of interesting, experienced  ; video game players where “no bureaucracy” and “flat hierarchy” are norms, not terms.",,,"they offer you a chance to join an agile team of interesting, experienced  ; video game players where “no bureaucracy” and “flat hierarchy” are norms, not terms."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",A Occupational  Therapist is needed in this Skilled Nursing facility you will work with a multidisciplinary team to insure a pleasant rehabilitation experience in this setting.,,,A Occupational  Therapist is needed in this Skilled Nursing facility you will work with a multidisciplinary team to insure a pleasant rehabilitation experience in this setting.
"Generic he,O,O,O,O,O,O,O,O,O,O,O,O,O,",He will be involved incommunication  ; delivery of the projects for our respective clients.,He,Generic he,He will be involved incommunication  ; delivery of the projects for our respective clients.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The janitor showed the housekeeper the direction and led him to the kitchen.,him,Generic he,The janitor showed the housekeeper the direction and led him to the kitchen.
"O,O,O,O,O,O,O,O,O,O,O,O",About Us:Storesupport can offer you a great working environment with flexibility.,,,About Us:Storesupport can offer you a great working environment with flexibility.
"O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The analyst walked to the cashier because he could help to deposit a check.,he,Generic he,The analyst walked to the cashier because he could help to deposit a check.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,",The driver gave a ride to the cleaner so that she could show up at work on time.,she,Generic she,The driver gave a ride to the cleaner so that she could show up at work on time.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O","give their opinion on the committee delivering oral , written and oral presentations.",,,"give their opinion on the committee delivering oral , written and oral presentations."
